'nazwa','ustawa','stawka_minimalna','stawka_maksymalna','punkty_karne'
'Nieustąpienie pierwszeństwa pieszemu znajdującemu się na przejściu dla pieszych lub wchodzącemu na to przejście','86b § 1 pkt 1 KW / art. 26 ust. 1 albo ust. 1a PRD',3000,3000,15
'Nieustąpienie przez kierującego pojazdem, który skręca w drogę poprzeczną, pierwszeństwa pieszemu przechodzącemu na skrzyżowaniu przez jezdnię drogi, na którą wjeżdża','86b § 1 pkt 1 KW / art. 26 ust. 2 PRD',3000,3000,15
'Nieustąpienie pierwszeństwa pieszemu przy przejeżdżaniu przez chodnik lub drogę dla pieszych albo podczas jazdy po placu, na którym ruch pieszych i pojazdów odbywa się po tej samej powierzchni','86b § 1 pkt 1 KW / art. 26 ust. 4 albo ust. 5 PRD',3000,3000,0
'Nieustąpienie pierwszeństwa pieszemu przez kierującego pojazdem podczas włączania się do ruchu','86b § 1 pkt 1 KW / art. 17 ust. 2 PRD',3000,3000,5
'Nieustąpienie pierwszeństwa pieszemu przy cofaniu pojazdem','86b § 1 pkt 1 KW / art. 23 ust. 1 pkt 3 PRD',3000,3000,8
'Nieustąpienie pierwszeństwa pieszemu przez kierującego pojazdem w strefie zamieszkania','86b § 1 pkt 1 KW / art. 11 ust. 5 PRD',3000,3000,0
'Niezatrzymanie pojazdu w celu umożliwienia przejścia przez jezdnię osobie niepełnosprawnej, używającej specjalnego znaku lub osobie o widocznej ograniczonej sprawności ruchowej','86b § 1 pkt 2 KW / art. 26 ust. 7',3000,3000,15
'Wyprzedzanie pojazdu na przejściu dla pieszych, na którym ruch nie jest kierowany, lub bezpośrednio przed tym przejściem','86b § 1 pkt 3 KW / art. 26 ust. 3 pkt 1',3000,3000,15
'Omijanie pojazdu, który jechał w tym samym kierunku, lecz zatrzymał się w celu ustąpienia pierwszeństwa pieszemu','86b § 1 pkt 4 KW / art. 26 ust. 3 pkt 2',3000,3000,15
'Naruszenie zakazu jazdy wzdłuż po chodniku lub przejściu dla pieszych','86b § 1 pkt 5 / 26 ust. 3 pkt 3',3000,3000,6
'Naruszenie obowiązku zatrzymania pojazdu w takim miejscu i na taki czas, aby umożliwić pieszym swobodny dostęp do pojazdów komunikacji publicznej – w przypadku braku wysepki dla pasażerów na przystanku','97 KW / art. 26 ust. 6',300,300,6
'Naruszenie przez kierującego pojazdem zakazu korzystania z drogi przejazdu pojazdu uprzywilejowanego utworzonej przez kierujących innymi pojazdami w warunkach zwiększonego natężenia ruchu utrudniającego swobodny przejazd pojazdu uprzywilejowanego w celu umożliwienia swobodnego przejazdu tego pojazdu','97 KW / 9 ust. 3 PRD',500,2500,0
'Zajmowanie więcej niż jednego, wyznaczonego na jezdni, pasa ruchu','97 KW /art. 16 ust. 4 PRD',150,150,2
